0.001113	-0.039478	0.043728	0.003354	-0.043031	-0.046394	-0.048391	-0.048391	-0.046394	-0.043031	0.003354	0.043728	-0.039478	0.001113	
0.001671	-0.037178	0.047047	0.008502	-0.039477	-0.043026	-0.046397	-0.048392	-0.048389	-0.046398	-0.002833	0.036368	-0.043033	-0.002964	
-0.001564	-0.037176	0.044639	0.010286	-0.037179	-0.039472	-0.043030	-0.046399	-0.048391	-0.048391	-0.007693	0.028273	-0.046399	-0.008665	
-0.007050	-0.039472	0.037740	0.007824	-0.037179	-0.037176	-0.039475	-0.043033	-0.046399	-0.048391	-0.009684	0.022419	-0.048391	-0.013701	
-0.012478	-0.043026	0.029534	0.002324	-0.039477	-0.037178	-0.037178	-0.039478	-0.043033	-0.046398	-0.008252	0.020549	-0.048389	-0.016382	
-0.015933	-0.046394	0.023149	-0.003790	-0.043031	-0.039478	-0.037179	-0.037179	-0.039478	-0.043031	-0.003790	0.023149	-0.046394	-0.015933	
-0.016382	-0.048389	0.020549	-0.008252	-0.046398	-0.043033	-0.039478	-0.037178	-0.037178	-0.039477	0.002324	0.029534	-0.043026	-0.012478	
-0.013701	-0.048391	0.022419	-0.009684	-0.048391	-0.046399	-0.043033	-0.039475	-0.037176	-0.037179	0.007824	0.037740	-0.039472	-0.007050	
-0.008665	-0.046399	0.028273	-0.007693	-0.048391	-0.048391	-0.046399	-0.043030	-0.039472	-0.037179	0.010286	0.044639	-0.037176	-0.001564	
-0.002964	-0.043033	0.036368	-0.002833	-0.046398	-0.048389	-0.048392	-0.046397	-0.043026	-0.039477	0.008502	0.047047	-0.037178	0.001671	
0.009346	-0.030071	0.061267	0.020989	-0.032743	-0.039266	-0.046536	-0.051854	-0.053761	-0.051852	-0.010763	0.030777	-0.046545	-0.003890	
0.004913	-0.030762	0.056919	0.021821	-0.030767	-0.035703	-0.043007	-0.049562	-0.053279	-0.053279	-0.014724	0.023204	-0.049563	-0.009715	
-0.000606	-0.032736	0.050139	0.020172	-0.030073	-0.032736	-0.039272	-0.046543	-0.051854	-0.053762	-0.017280	0.016977	-0.051854	-0.014998	
-0.006502	-0.035703	0.041985	0.016325	-0.030767	-0.030762	-0.035709	-0.043015	-0.049563	-0.053279	-0.018318	0.012444	-0.053279	-0.019336	
-0.012146	-0.039266	0.033514	0.010896	-0.032743	-0.030071	-0.032741	-0.039279	-0.046545	-0.051852	-0.017798	0.009797	-0.053761	-0.022465	
-0.017052	-0.043002	0.025602	0.004651	-0.035712	-0.030768	-0.030766	-0.035715	-0.043017	-0.049559	-0.015741	0.009130	-0.053275	-0.024228	
-0.020881	-0.046531	0.018879	-0.001666	-0.039275	-0.032746	-0.030073	-0.032746	-0.039281	-0.046540	-0.012231	0.010462	-0.051847	-0.024551	
-0.023420	-0.049552	0.013753	-0.007441	-0.043011	-0.035717	-0.030768	-0.030768	-0.035717	-0.043011	-0.007441	0.013753	-0.049552	-0.023420	
-0.024551	-0.051847	0.010462	-0.012231	-0.046540	-0.039281	-0.032746	-0.030073	-0.032746	-0.039275	-0.001666	0.018879	-0.046531	-0.020881	
-0.024228	-0.053275	0.009130	-0.015741	-0.049559	-0.043017	-0.035715	-0.030766	-0.030768	-0.035712	0.004651	0.025602	-0.043002	-0.017052	
-0.022465	-0.053761	0.009797	-0.017798	-0.051852	-0.046545	-0.039279	-0.032741	-0.030071	-0.032743	0.010896	0.033514	-0.039266	-0.012146	
-0.019336	-0.053279	0.012444	-0.018318	-0.053279	-0.049563	-0.043015	-0.035709	-0.030762	-0.030767	0.016325	0.041985	-0.035703	-0.006502	
-0.014998	-0.051854	0.016977	-0.017280	-0.053762	-0.051854	-0.046543	-0.039272	-0.032736	-0.030073	0.020172	0.050139	-0.032736	-0.000606	
-0.009715	-0.049563	0.023204	-0.014724	-0.053279	-0.053279	-0.049562	-0.043007	-0.035703	-0.030767	0.021821	0.056919	-0.030762	0.004913	
